Id,Type,Question,Answer,Reference,Book,Chapter,Verse,StartVerse
835,A,"According to Acts, chapter 7, verse 35, to whom did the angel appear?",Moses,Acts 7:35,Acts,7,35,35
836,A,"According to Acts, chapter 7, verse 35, who was sent?",Moses,Acts 7:35,Acts,7,35,35
837,G,"Whom had they rejected with the words, ""Who made you ruler and judge?""",Moses,Acts 7:35,Acts,7,35,35
838,G,Who was sent to be their ruler and deliverer by God himself?,Moses,Acts 7:35,Acts,7,35,35
839,A,"According to Acts, chapter 7, verse 36, out of where did he lead them?",Egypt,Acts 7:36,Acts,7,36,36
840,G,Out of where did Moses lead them?,Egypt,Acts 7:36,Acts,7,36,36
841,G,Who led them out of Egypt?,Moses,Acts 7:36,Acts,7,36,36
842,G,"Who performed wonders and signs in Egypt, at the Red Sea and for forty years in the wilderness?",Moses,Acts 7:36,Acts,7,36,36
843,S,"Situation question: who said it, and to whom: ""God will raise up for you a prophet like me from your own people.""?",Moses said it to the Israelites,Acts 7:37,Acts,7,37,37
844,X,"From what Old Testament book does the following quotation come: ""God will raise up for you a prophet like me from your own people.""?",Deuteronomy,Acts 7:37,Acts,7,37,37
845,G,Who will raise up for the Israelites a prophet like Moses from their own people?,God,Acts 7:37,Acts,7,37,37
846,G,"Who told the Israelites, ""God will raise up for you a prophet like me from your own people.""?",Moses,Acts 7:37,Acts,7,37,37
847,G,Like whom will God raise up for the Israelites a prophet from their own people?,Moses,Acts 7:37,Acts,7,37,37
848,A,"According to Acts, chapter 7, verse 38, what did he receive?",Living words,Acts 7:38,Acts,7,38,38
849,A,"According to Acts, chapter 7, verse 38, who spoke to him?",The angel,Acts 7:38,Acts,7,38,38
850,G,Who was in the assembly in the wilderness?,Moses,Acts 7:38,Acts,7,38,38
851,G,To whom did the angel speak on Mount Sinai?,Moses,Acts 7:38,Acts,7,38,38
852,G,Who received living words to pass on to us?,Moses,Acts 7:38,Acts,7,38,38
853,S,"Situation question: who said it, and to whom: ""Make us gods who will go before us. As for this fellow Moses who led us out of Egyptwe don't know what has happened to him!""?",Our ancestors said it to Aaron,Acts 7:39-40,Acts,7,39-40,39
854,A,"According to Acts, chapter 7, verse 39, who rejected him?",Our ancestors,Acts 7:39,Acts,7,39,39
855,A,"According to Acts, chapter 7, verse 39, who refused to obey him?",Our ancestors,Acts 7:39,Acts,7,39,39
856,G,To where did our ancestors turn back in their hearts?,Egypt,Acts 7:39,Acts,7,39,39
857,G,Whom did our ancestors reject?,Moses,Acts 7:39,Acts,7,39,39
858,G,Whom did our ancestors refuse to obey?,Moses,Acts 7:39,Acts,7,39,39
859,X,"From what Old Testament book does the following quotation come: ""Make us gods who will go before us. As for this fellow Moses who led us out of Egyptwe don't know what has happened to him!""?",Exodus,Acts 7:40,Acts,7,40,40
860,G,"Whom did our ancestors tell, ""Make us gods who will go before us. As for this fellow Moses who led us out of Egyptwe don't know what has happened to him!""?",Aaron,Acts 7:40,Acts,7,40,40
861,G,What did our ancestors bring to an idol they made in the form of a calf?,Sacrifices,Acts 7:41,Acts,7,41,41
862,X,"From what Old Testament book does the following quotation come: ""Did you bring me sacrifices and offerings forty years in the wilderness, people of Israel?""",Amos,Acts 7:42,Acts,7,42,42
863,G,"Who turned away from our ancestors and gave them over to the worship of the sun, moon and stars?",God,Acts 7:42,Acts,7,42,42
864,G,"Who gave our ancestors over to the worship of the sun, moon and stars?",God,Acts 7:42,Acts,7,42,42
865,X,"Two-part answer: in Acts, chapter 7, what were the names of the idols our ancestors made to worship?",1) Molek; 2) Rephan,Acts 7:43,Acts,7,43,43
866,X,"From what Old Testament book does the following quotation come: ""You have taken up the tabernacle of Molek and the star of your god Rephan, the idols you made to worship. Therefore I will send you into exile.""?",Amos,Acts 7:43,Acts,7,43,43
867,G,Beyond where will I send you into exile?,Babylon,Acts 7:43,Acts,7,43,43
868,G,Into what will I send you beyond Babylon?,Exile,Acts 7:43,Acts,7,43,43
869,X,Who directed Moses in the making of the tabernacle of the covenant law?,God,Acts 7:44,Acts,7,44,44
870,A,"According to Acts, chapter 7, verse 44, whom did God direct?",Moses,Acts 7:44,Acts,7,44,44
871,A,"According to Acts, chapter 7, verse 45, what did they receive?",The tabernacle,Acts 7:45,Acts,7,45,45
872,G,Who enjoyed God's favor?,David,Acts 7:45-46,Acts,7,45-46,45
873,G,Who enjoyed God's favor and asked that he might provide a dwelling place for the God of Jacob?,David,Acts 7:45-46,Acts,7,45-46,45
874,G,Who asked that he might provide a dwelling place for the God of Jacob?,David,Acts 7:45-46,Acts,7,45-46,45
875,G,Whose favor did David enjoy?,God's,Acts 7:45-46,Acts,7,45-46,45
876,A,"According to Acts, chapter 7, verse 46, what did he enjoy?",God's favor,Acts 7:46,Acts,7,46,46
877,A,"According to Acts, chapter 7, verse 47, who built a house for him?",Solomon,Acts 7:47,Acts,7,47,47
878,G,Who built a house for the God of Jacob?,Solomon,Acts 7:47,Acts,7,47,47
879,X,"Two-part question: in Acts, chapter 7, what is the Lord's throne, and what is his footstool?",1) Heaven; 2) The earth,Acts 7:49,Acts,7,49,49
880,X,"From what Old Testament book does the following quotation come: ""Heaven is my throne, and the earth is my footstool. What kind of house will you build for me? says the Lord. Or where will my resting place be? Has not my hand made all these things?""",Isaiah,Acts 7:49-50,Acts,7,49-50,49
881,A,"According to Acts, chapter 7, verse 49, what is the earth?",My footstool,Acts 7:49,Acts,7,49,49
882,A,"According to Acts, chapter 7, verse 49, what is heaven?",My throne,Acts 7:49,Acts,7,49,49
883,G,What is my throne?,Heaven,Acts 7:49,Acts,7,49,49
884,A,"According to Acts, chapter 7, verse 51, when do you resist the Holy Spirit?",Always,Acts 7:51,Acts,7,51,51
885,A,"According to Acts, chapter 7, verse 51, what are your hearts and ears?",Still uncircumcised,Acts 7:51,Acts,7,51,51
886,A,"According to Acts, chapter 7, verse 51, whom are you just like?",Your ancestors,Acts 7:51,Acts,7,51,51
887,A,"According to Acts, chapter 7, verse 53, through whom was the law given?",Angels,Acts 7:53,Acts,7,53,53
888,A,"According to Acts, chapter 7, verse 53, what was given through angels?",The law,Acts 7:53,Acts,7,53,53
889,A,"According to Acts, chapter 7, verse 54, what were the members of the Sanhedrin?",Furious,Acts 7:54,Acts,7,54,54
890,G,At whom did the members of the Sanhedrin gnash their teeth?,Stephen,Acts 7:54,Acts,7,54,54
891,V,"Finish these verses: ""But Stephen, full of the...""","""...Holy Spirit, looked up to heaven and saw the glory of God, and Jesus standing at the right hand of God. ""Look,"" he said, ""I see heaven open and the Son of Man standing at the right hand of God.""""",Acts 7:55-56,Acts,7,55-56,55
892,A,"According to Acts, chapter 7, verse 55, who saw the glory of God?",Stephen,Acts 7:55,Acts,7,55,55
893,A,"According to Acts, chapter 7, verse 55, who was full of the Holy Spirit?",Stephen,Acts 7:55,Acts,7,55,55
894,A,"According to Acts, chapter 7, verse 55, who looked up to heaven?",Stephen,Acts 7:55,Acts,7,55,55
895,G,"Who saw the glory of God, and Jesus standing at the right hand of God?",Stephen,Acts 7:55,Acts,7,55,55
896,G,"Who looked up to heaven and saw the glory of God, and Jesus standing at the right hand of God?",Stephen,Acts 7:55,Acts,7,55,55
897,G,Who saw heaven open and the Son of Man standing at the right hand of God?,Stephen,Acts 7:56,Acts,7,56,56
898,G,"Who said, ""Look, I see heaven open and the Son of Man standing at the right hand of God.""?",Stephen,Acts 7:56,Acts,7,56,56
899,A,"According to Acts, chapter 7, verse 58, what did they begin to do?",Stone him,Acts 7:58,Acts,7,58,58
900,R,"Finish these verses and give the reference: ""While they were stoning him,...""","""Stephen prayed, ""Lord Jesus, receive my spirit."" Then he fell on his knees and cried out, ""Lord, do not hold this sin against them."" When he had said this, he fell asleep.""",Acts 7:59-60,Acts,7,59-60,59
901,X,"In Acts, chapter 7, whom did they stone?",Stephen,Acts 7:59,Acts,7,59,59
902,A,"According to Acts, chapter 7, verse 59, whom were they stoning?",Stephen,Acts 7:59,Acts,7,59,59
903,G,"Who prayed, ""Lord Jesus, receive my spirit""?",Stephen,Acts 7:59,Acts,7,59,59
904,X,"In Acts, chapter 7, who fell asleep?",Stephen,Acts 7:60,Acts,7,60,60
905,G,"Who fell on his knees and cried out, ""Lord, do not hold this sin against them.""?",Stephen,Acts 7:60,Acts,7,60,60
906,G,"Who fell asleep when he had said, ""Lord, do not hold this sin against them.""?",Stephen,Acts 7:60,Acts,7,60,60
907,G,"Who cried out, ""Lord, do not hold this sin against them.""?",Stephen,Acts 7:60,Acts,7,60,60
908,X,"Two-part answer: in Acts, chapter 8, where were all except the apostles scattered?",1) Throughout Judea; 2) Throughout Samaria,Acts 8:1,Acts,8,1,1
909,G,Who approved of their killing Stephen?,Saul,Acts 8:1,Acts,8,1,1
910,X,"Complete, in essence, the following: ""Godly men buried Stephen and . . .""",""". . . mourned deeply for him.""",Acts 8:2,Acts,8,2,2
911,X,"Two-part question: who buried Stephen, and how did they mourn for him?",1) Godly men; 2) Deeply,Acts 8:2,Acts,8,2,2
912,G,How did Godly men mourn for Stephen?,Deeply,Acts 8:2,Acts,8,2,2
913,G,Who mourned deeply for Stephen?,Godly men,Acts 8:2,Acts,8,2,2
914,G,Who buried Stephen and mourned deeply for him?,Godly men,Acts 8:2,Acts,8,2,2
915,G,For whom did Godly men mourn deeply?,Stephen,Acts 8:2,Acts,8,2,2
916,A,"According to Acts, chapter 8, verse 3, what did Saul begin to do?",Destroy the church,Acts 8:3,Acts,8,3,3
917,G,Whom did Saul begin to destroy?,The church,Acts 8:3,Acts,8,3,3
918,G,Where did Saul put both men and women?,In prison,Acts 8:3,Acts,8,3,3
919,G,Who began to destroy the church?,Saul,Acts 8:3,Acts,8,3,3
920,G,Who dragged off both men and women and put them in prison?,Saul,Acts 8:3,Acts,8,3,3
921,A,"According to Acts, chapter 8, verse 4, where did those who had been scattered preach the word?",Wherever they went,Acts 8:4,Acts,8,4,4
922,G,What did those who had been scattered preach wherever they went?,The word,Acts 8:4,Acts,8,4,4
923,A,"According to Acts, chapter 8, verse 5, who proclaimed the Messiah?",Philip,Acts 8:5,Acts,8,5,5
924,A,"According to Acts, chapter 8, verse 5, whom did Philip proclaim?",The Messiah,Acts 8:5,Acts,8,5,5
925,G,Who went down to a city in Samaria and proclaimed the Messiah there?,Philip,Acts 8:5,Acts,8,5,5
926,G,Whom did Philip proclaim in a city in Samaria?,The Messiah,Acts 8:5,Acts,8,5,5
927,A,"According to Acts, chapter 8, verse 6, whom did the crowds hear?",Philip,Acts 8:6,Acts,8,6,6
928,G,What did the crowds see Philip perform?,Signs,Acts 8:6,Acts,8,6,6
929,G,Who saw the signs Philip performed?,The crowds,Acts 8:6,Acts,8,6,6
930,G,Who all paid close attention to what Philip said?,The crowds,Acts 8:6,Acts,8,6,6
931,A,"According to Acts, chapter 8, verse 7, out of whom did impure spirits come?",Many,Acts 8:7,Acts,8,7,7
932,A,"According to Acts, chapter 8, verse 7, with what did impure spirits come out of many?",Shrieks,Acts 8:7,Acts,8,7,7
933,G,Out of whom did impure spirits come out with shrieks?,Many,Acts 8:7,Acts,8,7,7
934,A,"According to Acts, chapter 8, verse 8, what was there in that city?",Great joy,Acts 8:8,Acts,8,8,8
935,A,"According to Acts, chapter 8, verse 8, where was there great joy?",In that city,Acts 8:8,Acts,8,8,8
936,G,What had a man named Simon practiced in the city for some time?,Sorcery,Acts 8:9,Acts,8,9,9
937,G,"What did all the people, both high and low, give a man named Simon?",Their attention,Acts 8:10,Acts,8,10,10
938,A,"According to Acts, chapter 8, verse 10, what did all the people give him?",Their attention,Acts 8:10,Acts,8,10,10
939,G,With what had Simon amazed all the people for a long time?,His sorcery,Acts 8:11,Acts,8,11,11
940,G,Whom did all the people follow because he had amazed them for a long time with his sorcery?,Simon,Acts 8:11,Acts,8,11,11
941,A,"According to Acts, chapter 8, verse 11, with what had he amazed them for a long time?",His sorcery,Acts 8:11,Acts,8,11,11
942,G,Who had amazed all the people for a long time with his sorcery?,Simon,Acts 8:11,Acts,8,11,11
943,A,"According to Acts, chapter 8, verse 12, who proclaimed the good news of the kingdom of God and the name of Jesus Christ?",Philip,Acts 8:12,Acts,8,12,12
944,A,"According to Acts, chapter 8, verse 12, whom did they believe?",Philip,Acts 8:12,Acts,8,12,12
945,G,Where did Simon follow Philip?,Everywhere,Acts 8:13,Acts,8,13,13
946,A,"According to Acts, chapter 8, verse 13, who himself believed?",Simon,Acts 8:13,Acts,8,13,13
947,A,"According to Acts, chapter 8, verse 13, who was astonished by the great signs and miracles he saw?",Simon,Acts 8:13,Acts,8,13,13
948,A,"According to Acts, chapter 8, verse 13, who saw great signs and miracles?",Simon,Acts 8:13,Acts,8,13,13
949,A,"According to Acts, chapter 8, verse 13, who was baptized?",Simon,Acts 8:13,Acts,8,13,13
950,G,Whom did Simon follow everywhere?,Philip,Acts 8:13,Acts,8,13,13
951,G,Who followed Philip everywhere?,Simon,Acts 8:13,Acts,8,13,13
952,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
953,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
954,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
955,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
956,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
957,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
958,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
959,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
960,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
961,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
962,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
963,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
964,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
965,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
966,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
967,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
968,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
969,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
970,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
971,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
972,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
973,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
974,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
975,V,"Finish this verse: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
976,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
977,R,"Finish this verse and give the reference: ""When the apostles in Jerusalem...""","""...heard that Samaria had accepted the word of God, they sent Peter and John to Samaria.""",Acts 8:14,Acts,8,14,14
978,G,To where did the apostles in Jerusalem send Peter and John?,Samaria,Acts 8:14,Acts,8,14,14
979,A,"According to Acts, chapter 8, verse 14, to where did the apostles in Jerusalem send Peter and John?",Samaria,Acts 8:14,Acts,8,14,14
980,A,"According to Acts, chapter 8, verse 14, who had accepted the word of God?",Samaria,Acts 8:14,Acts,8,14,14
981,A,"According to Acts, chapter 8, verse 15, whom might they receive?",The Holy Spirit,Acts 8:15,Acts,8,15,15
982,A,"According to Acts, chapter 8, verse 16, what had they simply been in the name of the Lord Jesus?",Baptized,Acts 8:16,Acts,8,16,16
983,G,What did Peter and John place on the new believers in Samaria?,Their hands,Acts 8:17,Acts,8,17,17
984,S,"Situation question: who said it, and to whom: ""May your money perish with you, because you thought you could buy the gift of God with money!""?",Peter said it to Simon,"Acts 8:18, 20",Acts,8,"18, 20",18
985,G,What did Simon offer the apostles?,Money,Acts 8:18,Acts,8,18,18
986,G,Who offered the apostles money?,Simon,Acts 8:18,Acts,8,18,18
987,G,Who saw that the Spirit was given at the laying on of the apostles' hands?,Simon,Acts 8:18,Acts,8,18,18
988,G,Who was given at the laying on of the apostles' hands?,The Spirit,Acts 8:18,Acts,8,18,18
989,G,Whom did Simon offer money?,The apostles,Acts 8:18,Acts,8,18,18
990,S,"Situation question: who said it, and to whom: ""Give me also this ability so that everyone on whom I lay my hands may receive the Holy Spirit""?",Simon said it to the apostles [OR Peter and John],Acts 8:19,Acts,8,19,19
991,G,"Who said, ""Give me also this ability so that everyone on whom I lay my hands may receive the Holy Spirit.""?",Simon,Acts 8:19,Acts,8,19,19
992,S,"Situation question: who said it, and to whom: ""You have no part or share in this ministry, because your heart is not right before God.""?",Peter said it to Simon,Acts 8:20-21,Acts,8,20-21,20
993,G,With what did Simon think he could buy the gift of God?,Money,Acts 8:20,Acts,8,20,20
994,G,"Who answered, ""May your money perish with you, because you thought you could buy the gift of God with money!""?",Peter,Acts 8:20,Acts,8,20,20
995,G,Who thought he could buy the gift of God with money?,Simon,Acts 8:20,Acts,8,20,20
996,G,Before whom is Simon's heart not right?,God,Acts 8:21,Acts,8,21,21
997,G,Who has no part or share in this ministry?,Simon,Acts 8:21,Acts,8,21,21
998,G,Whose heart is not right before God?,Simon's,Acts 8:21,Acts,8,21,21
999,X,"In Acts, chapter 8, who should repent of this wickedness and pray to the Lord?",Simon (the sorcerer),Acts 8:22,Acts,8,22,22
1000,A,"According to Acts, chapter 8, verse 22, of what should you repent?",This wickedness,Acts 8:22,Acts,8,22,22
1001,G,Whom may the Lord forgive for having such a thought in his heart?,Simon,Acts 8:22,Acts,8,22,22
1002,S,"Situation question: who said it, and to whom: ""For I see that you are full of bitterness and captive to sin.""?",Peter said it to Simon,Acts 8:23,Acts,8,23,23
1003,X,"Two-part question: in Acts, chapter 8, of what is Simon full, and to what is Simon captive?",1) Bitterness; 2) Sin,Acts 8:23,Acts,8,23,23
1004,A,"According to Acts, chapter 8, verse 23, of what are you full?",Bitterness,Acts 8:23,Acts,8,23,23
1005,G,To what is Simon captive?,Sin,Acts 8:23,Acts,8,23,23
1006,G,Of what is Simon full?,Bitterness,Acts 8:23,Acts,8,23,23
1007,G,Who sees that Simon is full of bitterness and captive to sin?,Peter,Acts 8:23,Acts,8,23,23
1008,G,Who is full of bitterness and captive to sin?,Simon,Acts 8:23,Acts,8,23,23
1009,G,Who is captive to sin?,Simon,Acts 8:23,Acts,8,23,23
1010,S,"Situation question: who said it, and to whom: ""Pray to the Lord for me so that nothing you have said may happen to me.""?",Simon said it to Peter,Acts 8:24,Acts,8,24,24
1011,X,Whom did Simon ask to pray for him?,Peter,Acts 8:24,Acts,8,24,24
1012,G,"Who answered, ""Pray to the Lord for me so that nothing you have said may happen to me.""?",Simon,Acts 8:24,Acts,8,24,24
1013,A,"According to Acts, chapter 8, verse 25, to where did Peter and John return?",Jerusalem,Acts 8:25,Acts,8,25,25
1014,A,"According to Acts, chapter 8, verse 25, about whom did they testify?",Jesus,Acts 8:25,Acts,8,25,25
1015,G,From where does the desert road go down to Gaza?,Jerusalem,Acts 8:26,Acts,8,26,26
1016,G,"To whom did an angel of the Lord say, ""Go south to the roadthe desert roadthat goes down from Jerusalem to Gaza.""?",Philip,Acts 8:26,Acts,8,26,26
1017,G,To where does the desert road go down from Jerusalem?,Gaza,Acts 8:26,Acts,8,26,26
1018,X,From what region was an Ethiopian eunuch?,The southern Nile region,Acts 8:27,Acts,8,27,27
1019,G,To where had an Ethiopian eunuch gone to worship?,Jerusalem,Acts 8:27,Acts,8,27,27
1020,G,"What means ""queen of the Ethiopians""?",Kandake,Acts 8:27,Acts,8,27,27
1021,G,Who met an Ethiopian eunuch?,Philip,Acts 8:27,Acts,8,27,27
1022,S,"Situation question: who said it, and to whom: ""Go to that chariot and stay near it.""?",The Spirit said it to Philip,Acts 8:29,Acts,8,29,29
1023,G,"Whom did the Spirit tell, ""Go to that chariot and stay near it.""?",Philip,Acts 8:29,Acts,8,29,29
1024,G,"Who asked, ""Do you understand what you are reading?""",Philip,Acts 8:30,Acts,8,30,30
1025,G,Who ran up to the chariot and heard the man reading Isaiah the prophet?,Philip,Acts 8:30,Acts,8,30,30
1026,S,"Situation question: who said it, and to whom: ""How can I, unless someone explains it to me?""",A eunuch said it to Philip,Acts 8:31,Acts,8,31,31
1027,G,Whom did the eunuch invite to come up and sit with him?,Philip,Acts 8:31,Acts,8,31,31
1028,Q,"Quote Acts, chapter 8, verses 32 through 33.","""This is the passage of Scripture the eunuch was reading: ""He was led like a sheep to the slaughter, and as a lamb before its shearer is silent, so he did not open his mouth. In his humiliation he was deprived of justice. Who can speak of his descendants? For his life was taken from the earth.""""",Acts 8:32-33,Acts,8,32-33,32
1029,X,"From what Old Testament book does the following quotation come: ""He was led like a sheep to the slaughter, and as a lamb before its shearer is silent, so he did not open his mouth.""?",Isaiah,Acts 8:32,Acts,8,32,32
1030,A,"According to Acts, chapter 8, verse 32, what did he not open?",His mouth,Acts 8:32,Acts,8,32,32
1031,A,"According to Acts, chapter 8, verse 32, who was reading this passage of Scripture?",The eunuch,Acts 8:32,Acts,8,32,32
1032,X,"From what Old Testament book does the following quotation come: ""In his humiliation he was deprived of justice. Who can speak of his descendants? For his life was taken from the earth.""?",Isaiah,Acts 8:33,Acts,8,33,33
1033,A,"According to Acts, chapter 8, verse 33, what was taken from the earth?",His life,Acts 8:33,Acts,8,33,33
1034,A,"According to Acts, chapter 8, verse 33, of what was he deprived?",Justice,Acts 8:33,Acts,8,33,33
1035,A,"According to Acts, chapter 8, verse 33, from where was his life taken?",The earth,Acts 8:33,Acts,8,33,33
1036,G,Of what was he deprived in his humiliation?,Justice,Acts 8:33,Acts,8,33,33
1037,S,"Situation question: who said it, and to whom: ""Tell me, please, who is the prophet talking about, himself or someone else?""",The eunuch said it to Philip,Acts 8:34,Acts,8,34,34
1038,G,"Whom did the eunuch ask, ""Tell me, please, who is the prophet talking about, himself or someone else?""",Philip,Acts 8:34,Acts,8,34,34
1039,Q,"Quote Acts, chapter 8, verse 35.","""Then Philip began with that very passage of Scripture and told him the good news about Jesus.""",Acts 8:35,Acts,8,35,35
1040,A,"According to Acts, chapter 8, verse 35, who began with that very passage of Scripture?",Philip,Acts 8:35,Acts,8,35,35
1041,G,Who told the eunuch the good news about Jesus?,Philip,Acts 8:35,Acts,8,35,35
1042,G,Who began with that very passage of Scripture and told the eunuch the good news about Jesus?,Philip,Acts 8:35,Acts,8,35,35
1043,A,"According to Acts, chapter 8, verse 36, to what did they come?",Some water,Acts 8:36,Acts,8,36,36
1044,X,"Two-part answer: in Acts, chapter 8, who went down into the water?",1) Philip; 2) The eunuch,Acts 8:38,Acts,8,38,38
1045,G,Who baptized the eunuch?,Philip,Acts 8:38,Acts,8,38,38
1046,A,"According to Acts, chapter 8, verse 39, how did the eunuch go on his way?",Rejoicing,Acts 8:39,Acts,8,39,39
1047,A,"According to Acts, chapter 8, verse 39, who went on his way rejoicing?",The eunuch,Acts 8:39,Acts,8,39,39
1048,G,Whom did the eunuch not see again?,Philip,Acts 8:39,Acts,8,39,39
1049,G,Whom did the Spirit of the Lord suddenly take away?,Philip,Acts 8:39,Acts,8,39,39
1050,G,How did the Spirit of the Lord take Philip away?,Suddenly,Acts 8:39,Acts,8,39,39
1051,A,"According to Acts, chapter 8, verse 40, where did Philip appear?",At Azotus,Acts 8:40,Acts,8,40,40
1052,A,"According to Acts, chapter 8, verse 40, what did Philip reach?",Caesarea,Acts 8:40,Acts,8,40,40
1053,A,"According to Acts, chapter 8, verse 40, who reached Caesarea?",Philip,Acts 8:40,Acts,8,40,40
1054,A,"According to Acts, chapter 8, verse 40, who traveled about?",Philip,Acts 8:40,Acts,8,40,40
1055,A,"According to Acts, chapter 8, verse 40, who preached the gospel in all the towns?",Philip,Acts 8:40,Acts,8,40,40
1056,G,"Who traveled about, preaching the gospel in all the towns until he reached Caesarea?",Philip,Acts 8:40,Acts,8,40,40
1057,G,Who appeared at Azotus?,Philip,Acts 8:40,Acts,8,40,40
1058,G,"Who appeared at Azotus and traveled about, preaching the gospel in all the towns until he reached Caesarea?",Philip,Acts 8:40,Acts,8,40,40
1059,G,Who preached the gospel in all the towns until he reached Caesarea?,Philip,Acts 8:40,Acts,8,40,40
1060,G,Who was still breathing out murderous threats against the Lord's disciples?,Saul,Acts 9:1,Acts,9,1,1
1061,G,Who went to the high priest and asked him for letters to the synagogues in Damascus?,Saul,Acts 9:1-2,Acts,9,1-2,1
1062,A,"According to Acts, chapter 9, verse 1, who went to the high priest?",Saul,Acts 9:1,Acts,9,1,1
1063,G,Who might take any in Damascus who belonged to the Way as prisoners to Jerusalem?,Saul,Acts 9:2,Acts,9,2,2
1064,G,Who asked the high priest for letters to the synagogues in Damascus?,Saul,Acts 9:2,Acts,9,2,2
1065,G,As what might Saul take any in Damascus who belonged to the Way to Jerusalem?,Prisoners,Acts 9:2,Acts,9,2,2
1066,R,"Finish these verses and give the reference: ""As he neared Damascus on...""","""...his journey, suddenly a light from heaven flashed around him. He fell to the ground and heard a voice say to him, ""Saul, Saul, why do you persecute me?"" ""Who are you, Lord?"" Saul asked. ""I am Jesus, whom you are persecuting,"" he replied.""",Acts 9:3-5,Acts,9,3-5,3
1067,X,Near which city did Saul hear the voice of Jesus?,Damascus,Acts 9:3-5,Acts,9,3-5,3
1068,G,Around whom did a light from heaven flash?,Saul,Acts 9:3,Acts,9,3,3
1069,S,"Situation question: who said it, and to whom: ""Who are you, Lord?""",Saul said it to Jesus,Acts 9:5,Acts,9,5,5
