Set Title,Set Number,Question Number,Type,Question,Answer,Reference,Book,Chapter,Verse,Begin Verse
"Set #1  all questions",1,368,"A","According to Acts, chapter 4, verse 7, whom did they have brought before them?","Peter and John","Acts 4:7",Acts,4,"7",7,
"Set #1  all questions",1,369,"A","According to Acts, chapter 4, verse 8, who was filled with the Holy Spirit?","Peter","Acts 4:8",Acts,4,"8",8,
"Set #1  all questions",1,370,"G","With whom was Peter filled?","The Holy Spirit","Acts 4:8",Acts,4,"8",8,
"Set #1  all questions",1,371,"X","In Acts, chapter 4, who were being called to account for an act of kindness shown to a man who was lame?","Peter and John","Acts 4:9",Acts,4,"9",9,
"Set #1  all questions",1,372,"A","According to Acts, chapter 4, verse 10, who stands before you healed?","This man","Acts 4:10",Acts,4,"10",10,
"Set #1  all questions",1,373,"X","Complete, in essence, the following Old Testament quotation: ""The stone you builders rejected, . . .""",""". . . which has become the cornerstone.""","Acts 4:11",Acts,4,"11",11,
"Set #1  all questions",1,374,"X","From what Old Testament book does the following quotation come: ""The stone you builders rejected, which has become the cornerstone.""?","Psalms","Acts 4:11",Acts,4,"11",11,
"Set #1  all questions",1,375,"G","Who is the stone you builders rejected, which has become the cornerstone?","Jesus","Acts 4:11",Acts,4,"11",11,
"Set #1  all questions",1,376,"G","Who rejected the stone which has become the cornerstone?","You builders","Acts 4:11",Acts,4,"11",11,
"Set #1  all questions",1,377,"G","What has the stone you builders rejected become?","The cornerstone","Acts 4:11",Acts,4,"11",11,
"Set #1  all questions",1,378,"R","Finish this verse and give the reference: ""Salvation is found in no...""","""...one else, for there is no other name under heaven given to mankind by which we must be saved.""""","Acts 4:12",Acts,4,"12",12,
"Set #1  all questions",1,379,"X","In Acts, chapter 4, in whom is salvation found?","No one else but Jesus","Acts 4:12",Acts,4,"12",12,
"Set #1  all questions",1,380,"A","According to Acts, chapter 4, verse 12, what is found in no one else?","Salvation","Acts 4:12",Acts,4,"12",12,
"Set #1  all questions",1,381,"A","According to Acts, chapter 4, verse 12, in whom is salvation found?","No one else","Acts 4:12",Acts,4,"12",12,
"Set #1  all questions",1,382,"Q","Quote Acts, chapter 4, verse 13.","""When they saw the courage of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,383,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,384,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,385,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,386,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,387,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,388,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,389,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,390,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,391,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,392,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,393,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,394,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,395,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,396,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,397,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,398,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,399,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,400,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,401,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,402,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,403,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,404,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,405,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,406,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,407,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,408,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,409,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,410,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,411,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,412,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,413,"V","Finish this verse: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,414,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,415,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,416,"R","Finish this verse and give the reference: ""When they saw the courage...""","""...of Peter and John and realized that they were unschooled, ordinary men, they were astonished and they took note that these men had been with Jesus.""","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,417,"A","According to Acts, chapter 4, verse 13, who had been with Jesus?","Peter and John","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,418,"A","According to Acts, chapter 4, verse 13, what were Peter and John?","Unschooled, ordinary men","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,419,"G","Who were unschooled, ordinary men?","Peter and John","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,420,"G","Who were ordinary men?","Peter and John","Acts 4:13",Acts,4,"13",13,
"Set #1  all questions",1,421,"A","According to Acts, chapter 4, verse 14, what could they say?","Nothing","Acts 4:14",Acts,4,"14",14,
"Set #1  all questions",1,422,"G","Whom did they order to withdraw from the Sanhedrin?","Peter and John","Acts 4:15",Acts,4,"15",15,
"Set #1  all questions",1,423,"S","Situation question: who said it, and about whom: ""Everyone living in Jerusalem knows they have performed a notable sign, and we cannot deny it.""?","The Sanhedrin [OR the rulers and elders of the people(and teachers of the law)] said it about Peter and John","Acts 4:16",Acts,4,"16",16,
"Set #1  all questions",1,424,"S","Situation question: who said it, and about whom: ""What are we going to do with these men?""","The Sanhedrin [OR the rulers and elders of the people] said it about Peter and John","Acts 4:16",Acts,4,"16",16,
"Set #1  all questions",1,425,"A","According to Acts, chapter 4, verse 16, what have they performed?","A notable sign","Acts 4:16",Acts,4,"16",16,
"Set #1  all questions",1,426,"G","Who have performed a notable sign?","Peter and John","Acts 4:16",Acts,4,"16",16,
"Set #1  all questions",1,427,"G","Whom must the Sanhedrin warn to speak no longer to anyone in this name?","Peter and John","Acts 4:17",Acts,4,"17",17,
"Set #1  all questions",1,428,"G","To whom must the Sanhedrin warn Peter and John to speak no longer in this name?","Anyone","Acts 4:17",Acts,4,"17",17,
"Set #1  all questions",1,429,"X","Who were commanded not to speak or teach at all in the name of Jesus?","Peter and John","Acts 4:18",Acts,4,"18",18,
"Set #1  all questions",1,430,"G","Whom did the Sanhedrin command not to speak or teach at all in the name of Jesus?","Peter and John","Acts 4:18",Acts,4,"18",18,
"Set #1  all questions",1,431,"G","Whom did the Sanhedrin call in again and command not to speak or teach at all in the name of Jesus?","Peter and John","Acts 4:18",Acts,4,"18",18,
"Set #1  all questions",1,432,"R","Finish these verses and give the reference: ""But Peter and John replied,...""","""...""Which is right in God's eyes: to listen to you, or to him? You be the judges! As for us, we cannot help speaking about what we have seen and heard.""""","Acts 4:19-20",Acts,4,"19-20",19,
"Set #1  all questions",1,433,"X","In Acts, chapter 4, to whom should you listen?","God","Acts 4:19",Acts,4,"19",19,
"Set #1  all questions",1,434,"X","In Acts, chapter 4, what is right in God's eyes?","To listen to God","Acts 4:19",Acts,4,"19",19,
"Set #1  all questions",1,435,"A","According to Acts, chapter 4, verse 19, what should you be?","The judges","Acts 4:19",Acts,4,"19",19,
"Set #1  all questions",1,436,"G","Who replied, ""Which is right in God's eyes: to listen to you, or to him? You be the judges! As for us, we cannot help speaking about what we have seen and heard.""?","Peter and John","Acts 4:19-20",Acts,4,"19-20",19,
"Set #1  all questions",1,437,"G","Who cannot help speaking about what they have seen and heard?","Peter and John","Acts 4:20",Acts,4,"20",20,
"Set #1  all questions",1,438,"A","According to Acts, chapter 4, verse 21, when did they let them go?","After further threats","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,439,"A","According to Acts, chapter 4, verse 21, who were praising God?","All the people","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,440,"A","According to Acts, chapter 4, verse 21, for what were all the people praising God?","What had happened","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,441,"G","When did they let Peter and John go?","After further threats","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,442,"G","Whom were all the people praising for what had happened?","God","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,443,"G","Whom did they let go after further threats?","Peter and John","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,444,"G","Whom could they not decide how to punish?","Peter and John","Acts 4:21",Acts,4,"21",21,
"Set #1  all questions",1,445,"X","In Acts, chapter 4, who was over forty years old?","The man who was miraculously healed","Acts 4:22",Acts,4,"22",22,
"Set #1  all questions",1,446,"A","According to Acts, chapter 4, verse 23, to whom did Peter and John go back?","Their own people","Acts 4:23",Acts,4,"23",23,
"Set #1  all questions",1,447,"G","When did Peter and John go back to their own people and report all that the chief priests and the elders had said to them?","On their release","Acts 4:23",Acts,4,"23",23,
"Set #1  all questions",1,448,"G","To whom did Peter and John go back and report all that the chief priests and the elders had said to them?","Their own people","Acts 4:23",Acts,4,"23",23,
"Set #1  all questions",1,449,"G","To whom did they raise their voices together in prayer?","God","Acts 4:24",Acts,4,"24",24,
"Set #1  all questions",1,450,"G","In what did they raise their voices together to God?","Prayer","Acts 4:24",Acts,4,"24",24,
"Set #1  all questions",1,451,"G","What did they raise together in prayer to God?","Their voices","Acts 4:24",Acts,4,"24",24,
"Set #1  all questions",1,452,"X","Two-part question: who rage, and who plot in vain?","1) The nations; 2) The peoples","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,453,"X","From what Old Testament book does the following quotation come: ""The kings of the earth rise up and the rulers band together against the Lord and against his anointed one.""?","Psalms","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,454,"X","From what Old Testament book does the following quotation come: ""Why do the nations rage and the peoples plot in vain?""","Psalms","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,455,"A","According to Acts, chapter 4, verse 25, who is our father?","David","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,456,"A","According to Acts, chapter 4, verse 25, how do the peoples plot?","In vain","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,457,"A","According to Acts, chapter 4, verse 25, what do the nations do?","Rage","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,458,"G","Who rage?","The nations","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,459,"G","Who plot in vain?","The peoples","Acts 4:25",Acts,4,"25",25,
"Set #1  all questions",1,460,"A","According to Acts, chapter 4, verse 26, what do the kings of the earth do?","Rise up","Acts 4:26",Acts,4,"26",26,
"Set #1  all questions",1,461,"G","Who band together against the Lord and against his anointed one?","The rulers","Acts 4:26",Acts,4,"26",26,
"Set #1  all questions",1,462,"G","Who is the Sovereign Lord's holy servant?","Jesus","Acts 4:27",Acts,4,"27",27,
"Set #1  all questions",1,463,"R","Finish these verses and give the reference: ""Now, Lord, consider their threats...""","""...and enable your servants to speak your word with great boldness. Stretch out your hand to heal and perform signs and wonders through the name of your holy servant Jesus.""""","Acts 4:29-30",Acts,4,"29-30",29,
"Set #1  all questions",1,464,"X","How did Peter and John's own people pray that they may be enabled to speak the Lord's word?","With great boldness","Acts 4:29",Acts,4,"29",29,
"Set #1  all questions",1,465,"X","In Acts, chapter 4, what may the Lord perform through the name of his holy servant Jesus?","Signs and wonders","Acts 4:30",Acts,4,"30",30,
"Set #1  all questions",1,466,"G","What may the Lord stretch out to heal and perform signs and wonders?","His hand","Acts 4:30",Acts,4,"30",30,
"Set #1  all questions",1,467,"V","Finish this verse: ""After they prayed, the place...""","""...where they were meeting was shaken. And they were all filled with the Holy Spirit and spoke the word of God boldly.""","Acts 4:31",Acts,4,"31",31,
"Set #1  all questions",1,468,"A","According to Acts, chapter 4, verse 31, how did they speak the word of God?","Boldly","Acts 4:31",Acts,4,"31",31,
"Set #1  all questions",1,469,"R","Finish this verse and give the reference: ""All the believers were one...""","""...in heart and mind. No one claimed that any of their possessions was their own, but they shared everything they had.""","Acts 4:32",Acts,4,"32",32,
"Set #1  all questions",1,470,"G","Who claimed that any of their possessions was their own?","No one","Acts 4:32",Acts,4,"32",32,
"Set #1  all questions",1,471,"R","Finish these verses and give the reference: ""With great power the apostles...""","""...continued to testify to the resurrection of the Lord Jesus. And God's grace was so powerfully at work in them all that there were no needy persons among them. For from time to time those who owned land or houses sold them, brought the money from the sales and put it at the apostles' feet, and it was distributed to anyone who had need.""","Acts 4:33-35",Acts,4,"33-35",33,
"Set #1  all questions",1,472,"A","According to Acts, chapter 4, verse 33, what was so powerfully at work in them all?","God's grace","Acts 4:33",Acts,4,"33",33,
"Set #1  all questions",1,473,"G","With what did the apostles continue to testify to the resurrection of the Lord Jesus?","Great power","Acts 4:33",Acts,4,"33",33,
"Set #1  all questions",1,474,"G","Who continued to testify to the resurrection of the Lord Jesus?","The apostles","Acts 4:33",Acts,4,"33",33,
"Set #1  all questions",1,475,"G","Whose grace was so powerfully at work in them all that there were no needy persons among them?","God's","Acts 4:33-34",Acts,4,"33-34",33,
"Set #1  all questions",1,476,"G","What was so powerfully at work in them all that there were no needy persons among them?","God's grace","Acts 4:33-34",Acts,4,"33-34",33,
"Set #1  all questions",1,477,"X","Two-part question: in Acts, chapter 4, from where was Joseph, and what was Joseph called?","1) Cyprus; 2) Barnabas","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,478,"A","According to Acts, chapter 4, verse 36, from where was Joseph?","Cyprus","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,479,"A","According to Acts, chapter 4, verse 36, who was from Cyprus?","Joseph","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,480,"G","What means ""son of encouragement""?","Barnabas","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,481,"G","What did the apostles call Joseph?","Barnabas","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,482,"G","Who was a Levite from Cyprus?","Joseph","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,483,"G","Who called Joseph Barnabas?","The apostles","Acts 4:36",Acts,4,"36",36,
"Set #1  all questions",1,484,"A","According to Acts, chapter 4, verse 37, what did he bring?","The money","Acts 4:37",Acts,4,"37",37,
"Set #1  all questions",1,485,"G","What did Joseph own?","A field","Acts 4:37",Acts,4,"37",37,
"Set #1  all questions",1,486,"G","Whose wife was Sapphira?","Ananias'","Acts 5:1",Acts,5,"1",1,
"Set #1  all questions",1,487,"G","Who was Ananias' wife?","Sapphira","Acts 5:1",Acts,5,"1",1,
"Set #1  all questions",1,488,"G","Who kept back part of the money for himself?","Ananias","Acts 5:2",Acts,5,"2",2,
"Set #1  all questions",1,489,"S","Situation question: who said it, and to whom: ""Ananias, how is it that Satan has so filled your heart that you have lied to the Holy Spirit and have kept for yourself some of the money you received for the land?""","Peter said it to Ananias","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,490,"S","Situation question: who said it, and to whom: ""You have not lied just to human beings but to God.""?","Peter said it to Ananias","Acts 5:3-4",Acts,5,"3-4",3,
"Set #1  all questions",1,491,"S","Situation question: who said it, and to whom: ""What made you think of doing such a thing? You have not lied just to human beings but to God.""?","Peter said it to Ananias","Acts 5:3-4",Acts,5,"3-4",3,
"Set #1  all questions",1,492,"S","Situation question: who said it, and to whom: ""Didn't it belong to you before it was sold? And after it was sold, wasn't the money at your disposal? What made you think of doing such a thing? You have not lied just to human beings but to God.""?","Peter said it to Ananias","Acts 5:3-4",Acts,5,"3-4",3,
"Set #1  all questions",1,493,"A","According to Acts, chapter 5, verse 3, to whom has Ananias lied?","The Holy Spirit","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,494,"G","For whom has Ananias kept some of the money he received for the land?","Himself","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,495,"G","Who has filled Ananias' heart?","Satan","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,496,"G","Who has so filled Ananias' heart that he has lied to the Holy Spirit and has kept for himself some of the money he received for the land?","Satan","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,497,"G","Who has kept for himself some of the money he received for the land?","Ananias","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,498,"G","Who said, ""Ananias, how is it that Satan has so filled your heart that you have lied to the Holy Spirit and have kept for yourself some of the money you received for the land?""","Peter","Acts 5:3",Acts,5,"3",3,
"Set #1  all questions",1,499,"X","When was the money at Ananias' disposal?","After the land was sold","Acts 5:4",Acts,5,"4",4,
"Set #1  all questions",1,500,"X","In Acts, chapter 5, at whose disposal was the money after the land was sold?","Ananias'","Acts 5:4",Acts,5,"4",4,
"Set #1  all questions",1,501,"G","Who has lied not just to human beings but to God?","Ananias","Acts 5:4",Acts,5,"4",4,
"Set #1  all questions",1,502,"G","Who has lied to God?","Ananias","Acts 5:4",Acts,5,"4",4,
"Set #1  all questions",1,503,"A","According to Acts, chapter 5, verse 5, who fell down and died?","Ananias","Acts 5:5",Acts,5,"5",5,
"Set #1  all questions",1,504,"A","According to Acts, chapter 5, verse 5, who heard this?","Ananias","Acts 5:5",Acts,5,"5",5,
"Set #1  all questions",1,505,"A","According to Acts, chapter 5, verse 5, what seized all who heard what had happened?","Great fear","Acts 5:5",Acts,5,"5",5,
"Set #1  all questions",1,506,"X","Two-part answer: in Acts, chapter 5, who were carried out and buried?","1) Ananias; 2) Ananias' wife [OR Sapphira]","Acts 5:6, 10",Acts,5,"6, 10",6,
"Set #1  all questions",1,507,"A","According to Acts, chapter 5, verse 6, who came forward?","Some young men","Acts 5:6",Acts,5,"6",6,
"Set #1  all questions",1,508,"G","Whose body did some young men wrap up?","Ananias'","Acts 5:6",Acts,5,"6",6,
"Set #1  all questions",1,509,"A","According to Acts, chapter 5, verse 7, who did not know what had happened?","His wife","Acts 5:7",Acts,5,"7",7,
"Set #1  all questions",1,510,"A","According to Acts, chapter 5, verse 7, who came in?","His wife","Acts 5:7",Acts,5,"7",7,
"Set #1  all questions",1,511,"A","According to Acts, chapter 5, verse 7, what did his wife not know?","What had happened","Acts 5:7",Acts,5,"7",7,
"Set #1  all questions",1,512,"G","Who asked Sapphira, ""Tell me, is this the price you and Ananias got for the land?""","Peter","Acts 5:8",Acts,5,"8",8,
"Set #1  all questions",1,513,"G","Who said to Sapphira, ""How could you conspire to test the Spirit of the Lord? Listen! The feet of the men who buried your husband are at the door, and they will carry you out also.""?","Peter","Acts 5:9",Acts,5,"9",9,
"Set #1  all questions",1,514,"G","How did the young men find Sapphira?","Dead","Acts 5:10",Acts,5,"10",10,
"Set #1  all questions",1,515,"A","According to Acts, chapter 5, verse 10, how did the young men find her?","Dead","Acts 5:10",Acts,5,"10",10,
"Set #1  all questions",1,516,"A","According to Acts, chapter 5, verse 10, who came in?","The young men","Acts 5:10",Acts,5,"10",10,
"Set #1  all questions",1,517,"G","At whose feet did Sapphira fall down and die?","Peter's","Acts 5:10",Acts,5,"10",10,
"Set #1  all questions",1,518,"G","What seized the whole church and all who heard about these events?","Great fear","Acts 5:11",Acts,5,"11",11,
"Set #1  all questions",1,519,"A","According to Acts, chapter 5, verse 12, who performed many signs and wonders among the people?","The apostles","Acts 5:12",Acts,5,"12",12,
"Set #1  all questions",1,520,"G","Among whom did the apostles perform many signs and wonders?","The people","Acts 5:12",Acts,5,"12",12,
"Set #1  all questions",1,521,"X","Two-part question: in Acts, chapter 5, who dared join the believers, and how were the believers regarded by the people?","1) No one else; 2) Highly","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,522,"G","How were all the believers regarded by the people?","Highly","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,523,"A","According to Acts, chapter 5, verse 13, how were they regarded?","Highly","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,524,"A","According to Acts, chapter 5, verse 13, what did no one else dare do?","Join them","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,525,"G","Whom did no one else dare join?","The believers","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,526,"G","By whom were all the believers highly regarded?","The people","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,527,"G","Who were highly regarded by the people?","The believers","Acts 5:13",Acts,5,"13",13,
"Set #1  all questions",1,528,"G","In whom did more and more men and women believe?","The Lord","Acts 5:14",Acts,5,"14",14,
"Set #1  all questions",1,529,"G","To what were more and more men and women added?","Their number","Acts 5:14",Acts,5,"14",14,
"Set #1  all questions",1,530,"G","Who brought the sick into the streets and laid them on beds and mats?","People","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,531,"A","According to Acts, chapter 5, verse 15, where did people bring the sick?","Into the streets","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,532,"G","Who laid the sick on beds and mats?","People","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,533,"G","Whose shadow might fall on some of the sick?","Peter's","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,534,"G","What might fall on some of the sick as Peter passed by?","Peter's shadow","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,535,"G","Whom did people lay on beds and mats?","The sick","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,536,"G","Whom did people bring into the streets and lay on beds and mats?","The sick","Acts 5:15",Acts,5,"15",15,
"Set #1  all questions",1,537,"G","Who gathered also from the towns around Jerusalem, bringing their sick and those tormented by impure spirits?","Crowds","Acts 5:16",Acts,5,"16",16,
"Set #1  all questions",1,538,"G","Who brought their sick and those tormented by impure spirits?","Crowds","Acts 5:16",Acts,5,"16",16,
"Set #1  all questions",1,539,"X","In Acts, chapter 5, who were filled with jealousy?","The high priest and all his associates","Acts 5:17",Acts,5,"17",17,
"Set #1  all questions",1,540,"G","With what were the high priest and all his associates filled?","Jealousy","Acts 5:17",Acts,5,"17",17,
"Set #1  all questions",1,541,"X","In Acts, chapter 5, who were arrested and put in jail?","The apostles","Acts 5:18",Acts,5,"18",18,
"Set #1  all questions",1,542,"A","According to Acts, chapter 5, verse 18, whom did they arrest?","The apostles","Acts 5:18",Acts,5,"18",18,
"Set #1  all questions",1,543,"A","According to Acts, chapter 5, verse 18, whom did they put in the public jail?","The apostles","Acts 5:18",Acts,5,"18",18,
"Set #1  all questions",1,544,"G","Whom did the high priest and all his associates arrest and put in the public jail?","The apostles","Acts 5:18",Acts,5,"18",18,
"Set #1  all questions",1,545,"V","Finish these verses: ""But during the night an...""","""...angel of the Lord opened the doors of the jail and brought them out ""Go, stand in the temple courts,"" he said, ""and tell the people all about this new life.""""","Acts 5:19-20",Acts,5,"19-20",19,
"Set #1  all questions",1,546,"S","Situation question: who said it, and to whom: ""Go, stand in the temple courts, and tell the people all about this new life.""?","An angel of the Lord said it to the apostles","Acts 5:19-20",Acts,5,"19-20",19,
"Set #1  all questions",1,547,"G","Whom did an angel of the Lord bring out during the night?","The apostles","Acts 5:19",Acts,5,"19",19,
